Japanese,English
こんにちは (Konnichiwa),Hello
おはよう (Ohayou),Good morning
こんばんは (Konbanwa),Good evening
さようなら (Sayounara),Goodbye
ありがとう (Arigatou),Thank you
すみません (Sumimasen),Excuse me / Sorry
ごめん (Gomen),Sorry (casual)
はい (Hai),Yes
いいえ (Iie),No
どうぞ (Douzo),Please / Go ahead
どういたしまして (Douitashimashite),You’re welcome
いただきます (Itadakimasu),Said before eating (Let’s eat)
ごちそうさま (Gochisousama),Said after eating (Thank you for the meal)
よろしくお願いします (Yoroshiku onegaishimasu),Nice to meet you / Please take care of me
おめでとう (Omedetou),Congratulations!
がんばって (Ganbatte),Do your best! / Good luck!
大丈夫 (Daijoubu),It’s okay / I’m fine
ほんとう？ (Hontou?),Really?
うそ！ (Uso!),No way! / You’re kidding!
なんで？ (Nande?),Why?
まじで？ (Majide?),Seriously?
お疲れ様 (Otsukaresama), Thank you for your effort
頑張る (Ganbaru),To do your best
大好き (Daisuki),I love it / I really like it
かわいい (Kawaii),Cute
かっこいい (Kakkoii),Cool / Handsome
すごい (Sugoi),Amazing / Wow
楽しい (Tanoshii),Fun
面白い (Omoshiroi),Interesting / Funny
怖い (Kowai),Scary
美味しい (Oishii),Delicious
友達 (Tomodachi),Friend
家族 (Kazoku),Family
先生 (Sensei),Teacher
学生 (Gakusei),Student
学校 (Gakkou),School
仕事 (Shigoto),Work / Job
会社 (Kaisha),Company
お金 (Okane),Money
時間 (Jikan),Time
電話 (Denwa),Phone
住所 (Juusho),Address
病院 (Byouin),Hospital
公園 (Kouen),Park
店 (Mise),Shop / Store
銀行 (Ginkou),Bank
映画 (Eiga),Movie
音楽 (Ongaku),Music
本 (Hon),Book
手紙 (Tegami),Letter
天気 (Tenki),Weather
空 (Sora),Sky
太陽 (Taiyou),Sun
月 (Tsuki),Moon
星 (Hoshi),Star
海 (Umi),Sea
山 (Yama),Mountain
川 (Kawa),River
森 (Mori),Forest
道 (Michi),Road
駅 (Eki),Station
車 (Kuruma),Car
電車 (Densha),Train
飛行機 (Hikouki),Airplane
バス (Basu),Bus
自転車 (Jitensha),Bicycle
猫 (Neko),Cat
犬 (Inu),Dog
鳥 (Tori),Bird
魚 (Sakana),Fish
馬 (Uma),Horse
食べる (Taberu),To eat
飲む (Nomu),To drink
話す (Hanasu),To speak
聞く (Kiku),To listen / To ask
読む (Yomu),To read
書く (Kaku),To write
見る (Miru),To see / To watch
買う (Kau),To buy
行く (Iku),To go
来る (Kuru),To come
帰る (Kaeru),To return home
遊ぶ (Asobu),To play / Have fun
働く (Hataraku),To work
眠る (Nemuru),To sleep
起きる (Okiru),To wake up
考える (Kangaeru),To think
知る (Shiru),To know
忘れる (Wasureru),To forget
覚える (Oboeru),To remember
欲しい (Hoshii),Want (something)
好き (Suki),Like
嫌い (Kirai),Dislike
怖い (Kowai),Scary
楽しい (Tanoshii),Fun
忙しい (Isogashii),Busy
静か (Shizuka),Quiet
速い (Hayai),Fast
遅い (Osoi),Slow / Late
新しい (Atarashii),New
古い (Furui),Old
近い (Chikai),Close / Near
遠い (Tooi),Far
暖かい (Atatakai),Warm
寒い (Samui),Cold
愛してます(Aishitemasu),i love you